entry,expiry,spot_in,spot_out,condor_credit,condor_pnl,lottery_pnl
2020-01-03,2020-01-09,12227,12216,,,
2020-01-10,2020-01-16,12257,12356,,,
2020-01-17,2020-01-23,12352,12180,,,
2020-01-24,2020-01-30,12248,12036,,,
2020-01-31,2020-02-06,11962,12138,123.8,-47.9,-0.22
2020-02-07,2020-02-13,12098,12175,134.18,50.97,-1.52
2020-02-14,2020-02-20,12113,12081,136.22,80.19,-1.28
2020-02-28,2020-03-05,11202,11269,147.71,60.4,-4.58
2020-03-06,2020-03-12,10989,9590,142.96,-57.02,-3.73
2020-03-13,2020-03-19,9955,8263,168.7,-31.28,
2020-03-20,2020-03-26,8745,8641,173.84,44.05,
2020-03-27,2020-04-09,8660,9112,187.13,1.45,
2020-04-03,2020-04-09,8084,9112,180.88,-19.04,
2020-04-17,2020-04-23,9267,9314,182.84,37.98,
2020-04-24,2020-04-30,9154,9860,175.15,-24.58,
2020-05-08,2020-05-14,9252,9143,163.41,46.25,
2020-05-15,2020-05-21,9137,9106,161.52,67.16,
2020-05-22,2020-05-28,9039,9490,159.29,-39.93,-19.29
2020-05-29,2020-06-04,9580,10029,162.69,-35.65,
2020-06-05,2020-06-11,10142,9902,153.21,-28.55,-10.92
2020-06-12,2020-06-18,9973,10092,150.96,18.78,-7.61
2020-06-19,2020-06-25,10244,10289,146.67,73.6,-5.77
2020-06-26,2020-07-02,10383,10552,143.7,3.07,-3.8
2020-07-03,2020-07-09,10607,10813,140.11,-36.83,-1.98
2020-07-10,2020-07-16,10768,10740,135.72,81.62,-1.26
2020-07-17,2020-07-23,10902,11215,132.58,-66.41,-0.71
2020-07-24,2020-07-30,11194,11102,127.83,29.4,-0.66
2020-07-31,2020-08-06,11073,11200,132.28,-10.99,-0.84
2020-08-07,2020-08-13,11214,11300,136.93,33.6,-1.41
2020-08-14,2020-08-20,11178,11312,129.06,16.56,-0.62
2020-08-21,2020-08-27,11372,11559,129.79,-50.41,-0.58
2020-08-28,2020-09-03,11648,11527,122.4,2.13,-0.34
2020-09-04,2020-09-10,11334,11449,127.55,26.26,-0.55
2020-09-11,2020-09-17,11464,11516,129.85,54.68,-0.55
2020-09-18,2020-09-24,11505,10806,127.85,-72.13,-0.38
2020-09-25,2020-10-01,11050,11417,146.46,-52.75,-3.93
2020-10-09,2020-10-15,11914,11680,148.68,-26.16,-5.57
2020-10-16,2020-10-22,11762,11896,151.99,16.99,-7.87
2020-10-23,2020-10-29,11930,11671,134.23,-62.18,-1.23
2020-10-30,2020-11-05,11642,12120,132.4,-67.58,-1.15
2020-11-06,2020-11-12,12264,12691,139.53,-60.44,-1.93
2020-11-13,2020-11-19,12720,12772,135.99,54.26,-1.3
2020-11-20,2020-11-26,12859,12987,140.73,9.37,-2.15
2020-11-27,2020-12-03,12969,13134,136.39,-28.11,-1.36
2020-12-04,2020-12-10,13259,13478,136.65,-47.82,-1.29
2020-12-11,2020-12-17,13514,13741,129.05,-62.02,-0.49
2020-12-18,2020-12-24,13761,13749,117.04,77.39,-0.07
2021-01-01,2021-01-07,14018,14137,141.88,10.36,-2.65
2021-01-08,2021-01-14,14347,14596,143.97,-42.22,-4.47
2021-01-15,2021-01-21,14434,14590,147.32,14.91,-5.66
2021-01-22,2021-01-28,14372,13818,137.82,-62.16,-1.66
2021-01-29,2021-02-04,13635,14896,145.97,-54.01,740.71
2021-02-05,2021-02-11,14924,15173,167.29,-8.58,
2021-02-12,2021-02-18,15163,15119,167.49,63.64,
2021-02-19,2021-02-25,14982,15097,166.1,49.41,
2021-02-26,2021-03-04,14529,15081,168.65,-30.66,
2021-03-05,2021-03-17,14938,14721,173.47,6.52,
